Survived,PassengerId,Pclass,Age,SibSp,Parch,Fare,Gender,Port
0,92,3,20.0,0,0,7.8542,1,2
0,93,1,46.0,1,0,61.175,1,2
0,94,3,26.0,1,2,20.575,1,2
0,95,3,59.0,0,0,7.25,1,2
0,96,3,25.0,0,0,8.05,1,2
0,97,1,71.0,0,0,34.6542,1,1
1,98,1,23.0,0,1,63.3583,1,1
1,99,2,34.0,0,1,23.0,0,2
0,100,2,34.0,1,0,26.0,1,2
0,101,3,28.0,0,0,7.8958,0,2
0,102,3,25.0,0,0,7.8958,1,2
0,103,1,21.0,0,1,77.2875,1,2
0,104,3,33.0,0,0,8.6542,1,2
0,105,3,37.0,2,0,7.925,1,2
0,106,3,28.0,0,0,7.8958,1,2
1,107,3,21.0,0,0,7.65,0,2
1,108,3,25.0,0,0,7.775,1,2
0,109,3,38.0,0,0,7.8958,1,2
1,110,3,21.5,1,0,24.15,0,3
0,111,1,47.0,0,0,52.0,1,2
0,112,3,14.5,1,0,14.4542,0,1
0,113,3,22.0,0,0,8.05,1,2
0,114,3,20.0,1,0,9.825,0,2
0,115,3,17.0,0,0,14.4583,0,1
0,116,3,21.0,0,0,7.925,1,2
0,117,3,70.5,0,0,7.75,1,3
0,118,2,29.0,1,0,21.0,1,2
0,119,1,24.0,0,1,247.5208,1,1
0,120,3,2.0,4,2,31.275,0,2
0,121,2,21.0,2,0,73.5,1,2
0,122,3,25.0,0,0,8.05,1,2
0,123,2,32.5,1,0,30.0708,1,1
1,124,2,32.5,0,0,13.0,0,2
0,125,1,54.0,0,1,77.2875,1,2
1,126,3,12.0,1,0,11.2417,1,1
0,127,3,25.0,0,0,7.75,1,3
1,128,3,24.0,0,0,7.1417,1,2
1,129,3,21.5,1,1,22.3583,0,1
0,130,3,45.0,0,0,6.975,1,2
0,131,3,33.0,0,0,7.8958,1,1
0,132,3,20.0,0,0,7.05,1,2
0,133,3,47.0,1,0,14.5,0,2
1,134,2,29.0,1,0,26.0,0,2
0,135,2,25.0,0,0,13.0,1,2
0,136,2,23.0,0,0,15.0458,1,1
1,137,1,19.0,0,2,26.2833,0,2
0,138,1,37.0,1,0,53.1,1,2
0,139,3,16.0,0,0,9.2167,1,2
0,140,1,24.0,0,0,79.2,1,1
0,141,3,21.5,0,2,15.2458,0,1
1,142,3,22.0,0,0,7.75,0,2
1,143,3,24.0,1,0,15.85,0,2
0,144,3,19.0,0,0,6.75,1,3
0,145,2,18.0,0,0,11.5,1,2
0,146,2,19.0,1,1,36.75,1,2
1,147,3,27.0,0,0,7.7958,1,2
0,148,3,9.0,2,2,34.375,0,2
0,149,2,36.5,0,2,26.0,1,2
0,150,2,42.0,0,0,13.0,1,2
0,151,2,51.0,0,0,12.525,1,2
1,152,1,22.0,1,0,66.6,0,2
0,153,3,55.5,0,0,8.05,1,2
0,154,3,40.5,0,2,14.5,1,2
0,155,3,25.0,0,0,7.3125,1,2
0,156,1,51.0,0,1,61.3792,1,1
1,157,3,16.0,0,0,7.7333,0,3
0,158,3,30.0,0,0,8.05,1,2
0,159,3,25.0,0,0,8.6625,1,2
0,160,3,25.0,8,2,69.55,1,2
0,161,3,44.0,0,1,16.1,1,2
1,162,2,40.0,0,0,15.75,0,2
0,163,3,26.0,0,0,7.775,1,2
0,164,3,17.0,0,0,8.6625,1,2
0,165,3,1.0,4,1,39.6875,1,2
1,166,3,9.0,0,2,20.525,1,2
1,167,1,35.0,0,1,55.0,0,2
0,168,3,45.0,1,4,27.9,0,2
0,169,1,40.0,0,0,25.925,1,2
0,170,3,28.0,0,0,56.4958,1,2
0,171,1,61.0,0,0,33.5,1,2
0,172,3,4.0,4,1,29.125,1,3
1,173,3,1.0,1,1,11.1333,0,2
0,174,3,21.0,0,0,7.925,1,2
0,175,1,56.0,0,0,30.6958,1,1
0,176,3,18.0,1,1,7.8542,1,2
0,177,3,25.0,3,1,25.4667,1,2
0,178,1,50.0,0,0,28.7125,0,1
0,179,2,30.0,0,0,13.0,1,2
0,180,3,36.0,0,0,0.0,1,2
0,181,3,21.5,8,2,69.55,0,2
0,182,2,30.0,0,0,15.05,1,1
0,183,3,9.0,4,2,31.3875,1,2
1,184,2,1.0,2,1,39.0,1,2
1,185,3,4.0,0,2,22.025,0,2
0,186,1,40.0,0,0,50.0,1,2
1,187,3,21.5,1,0,15.5,0,3
1,188,1,45.0,0,0,26.55,1,2
0,189,3,40.0,1,1,15.5,1,3
0,190,3,36.0,0,0,7.8958,1,2
1,191,2,32.0,0,0,13.0,0,2
0,192,2,19.0,0,0,13.0,1,2
1,193,3,19.0,1,0,7.8542,0,2
1,194,2,3.0,1,1,26.0,1,2
1,195,1,44.0,0,0,27.7208,0,1
1,196,1,58.0,0,0,146.5208,0,1
0,197,3,25.0,0,0,7.75,1,3
0,198,3,42.0,0,1,8.4042,1,2
1,199,3,21.5,0,0,7.75,0,3
0,200,2,24.0,0,0,13.0,0,2
0,201,3,28.0,0,0,9.5,1,2
0,202,3,25.0,8,2,69.55,1,2
0,203,3,34.0,0,0,6.4958,1,2
0,204,3,45.5,0,0,7.225,1,1
1,205,3,18.0,0,0,8.05,1,2
0,206,3,2.0,0,1,10.4625,0,2
0,207,3,32.0,1,0,15.85,1,2
1,208,3,26.0,0,0,18.7875,1,1
1,209,3,16.0,0,0,7.75,0,3
1,210,1,40.0,0,0,31.0,1,1
0,211,3,24.0,0,0,7.05,1,2
1,212,2,35.0,0,0,21.0,0,2
0,213,3,22.0,0,0,7.25,1,2
0,214,2,30.0,0,0,13.0,1,2
0,215,3,25.0,1,0,7.75,1,3
1,216,1,31.0,1,0,113.275,0,1
1,217,3,27.0,0,0,7.925,0,2
0,218,2,42.0,1,0,27.0,1,2
1,219,1,32.0,0,0,76.2917,0,1
0,220,2,30.0,0,0,10.5,1,2
1,221,3,16.0,0,0,8.05,1,2
0,222,2,27.0,0,0,13.0,1,2
0,223,3,51.0,0,0,8.05,1,2
0,224,3,25.0,0,0,7.8958,1,2
1,225,1,38.0,1,0,90.0,1,2
0,226,3,22.0,0,0,9.35,1,2
1,227,2,19.0,0,0,10.5,1,2
0,228,3,20.5,0,0,7.25,1,2
0,229,2,18.0,0,0,13.0,1,2
0,230,3,21.5,3,1,25.4667,0,2
1,231,1,35.0,1,0,83.475,0,2
0,232,3,29.0,0,0,7.775,1,2
0,233,2,59.0,0,0,13.5,1,2
1,234,3,5.0,4,2,31.3875,0,2
0,235,2,24.0,0,0,10.5,1,2
0,236,3,21.5,0,0,7.55,0,2
0,237,2,44.0,1,0,26.0,1,2
1,238,2,8.0,0,2,26.25,0,2
0,239,2,19.0,0,0,10.5,1,2
0,240,2,33.0,0,0,12.275,1,2
0,241,3,21.5,1,0,14.4542,0,1
1,242,3,21.5,1,0,15.5,0,3
0,243,2,29.0,0,0,10.5,1,2
0,244,3,22.0,0,0,7.125,1,2
0,245,3,30.0,0,0,7.225,1,1
0,246,1,44.0,2,0,90.0,1,3
0,247,3,25.0,0,0,7.775,0,2
1,248,2,24.0,0,2,14.5,0,2
1,249,1,37.0,1,1,52.5542,1,2
0,250,2,54.0,1,0,26.0,1,2
0,251,3,25.0,0,0,7.25,1,2
0,252,3,29.0,1,1,10.4625,0,2
0,253,1,62.0,0,0,26.55,1,2
0,254,3,30.0,1,0,16.1,1,2
0,255,3,41.0,0,2,20.2125,0,2
1,256,3,29.0,0,2,15.2458,0,1
1,257,1,35.0,0,0,79.2,0,1
1,258,1,30.0,0,0,86.5,0,2
1,259,1,35.0,0,0,512.3292,0,1
1,260,2,50.0,0,1,26.0,0,2
0,261,3,25.0,0,0,7.75,1,3
1,262,3,3.0,4,2,31.3875,1,2
0,263,1,52.0,1,1,79.65,1,2
0,264,1,40.0,0,0,0.0,1,2
0,265,3,21.5,0,0,7.75,0,3
0,266,2,36.0,0,0,10.5,1,2
0,267,3,16.0,4,1,39.6875,1,2
1,268,3,25.0,1,0,7.775,1,2
1,269,1,58.0,0,1,153.4625,0,2
1,270,1,35.0,0,0,135.6333,0,2
0,271,1,40.0,0,0,31.0,1,2
1,272,3,25.0,0,0,0.0,1,2
1,273,2,41.0,0,1,19.5,0,2
0,274,1,37.0,0,1,29.7,1,1
1,275,3,21.5,0,0,7.75,0,3
1,276,1,63.0,1,0,77.9583,0,2
0,277,3,45.0,0,0,7.75,0,2
0,278,2,30.0,0,0,0.0,1,2
0,279,3,7.0,4,1,29.125,1,3
1,280,3,35.0,1,1,20.25,0,2
0,281,3,65.0,0,0,7.75,1,3
0,282,3,28.0,0,0,7.8542,1,2
0,283,3,16.0,0,0,9.5,1,2
1,284,3,19.0,0,0,8.05,1,2
0,285,1,40.0,0,0,26.0,1,2
0,286,3,33.0,0,0,8.6625,1,1
1,287,3,30.0,0,0,9.5,1,2
0,288,3,22.0,0,0,7.8958,1,2
1,289,2,42.0,0,0,13.0,1,2
1,290,3,22.0,0,0,7.75,0,3
1,291,1,26.0,0,0,78.85,0,2
1,292,1,19.0,1,0,91.0792,0,1
0,293,2,36.0,0,0,12.875,1,1
0,294,3,24.0,0,0,8.85,0,2
0,295,3,24.0,0,0,7.8958,1,2
0,296,1,40.0,0,0,27.7208,1,1
0,297,3,23.5,0,0,7.2292,1,1
0,298,1,2.0,1,2,151.55,0,2
1,299,1,40.0,0,0,30.5,1,2
1,300,1,50.0,0,1,247.5208,0,1
1,301,3,21.5,0,0,7.75,0,3
1,302,3,25.0,2,0,23.25,1,3
0,303,3,19.0,0,0,0.0,1,2
1,304,2,28.0,0,0,12.35,0,3
0,305,3,25.0,0,0,8.05,1,2
1,306,1,0.92,1,2,151.55,1,2
1,307,1,35.0,0,0,110.8833,0,1
1,308,1,17.0,1,0,108.9,0,1
0,309,2,30.0,1,0,24.0,1,1
1,310,1,30.0,0,0,56.9292,0,1
1,311,1,24.0,0,0,83.1583,0,1
1,312,1,18.0,2,2,262.375,0,1
0,313,2,26.0,1,1,26.0,0,2
0,314,3,28.0,0,0,7.8958,1,2
0,315,2,43.0,1,1,26.25,1,2
1,316,3,26.0,0,0,7.8542,0,2
1,317,2,24.0,1,0,26.0,0,2
0,318,2,54.0,0,0,14.0,1,2
1,319,1,31.0,0,2,164.8667,0,2
1,320,1,40.0,1,1,134.5,0,1
0,321,3,22.0,0,0,7.25,1,2
0,322,3,27.0,0,0,7.8958,1,2
1,323,2,30.0,0,0,12.35,0,3
1,324,2,22.0,1,1,29.0,0,2
0,325,3,25.0,8,2,69.55,1,2
1,326,1,36.0,0,0,135.6333,0,1
0,327,3,61.0,0,0,6.2375,1,2
1,328,2,36.0,0,0,13.0,0,2
1,329,3,31.0,1,1,20.525,0,2
1,330,1,16.0,0,1,57.9792,0,1
1,331,3,21.5,2,0,23.25,0,3
0,332,1,45.5,0,0,28.5,1,2
0,333,1,38.0,0,1,153.4625,1,2
0,334,3,16.0,2,0,18.0,1,2
1,335,1,35.0,1,0,133.65,0,2
0,336,3,25.0,0,0,7.8958,1,2
0,337,1,29.0,1,0,66.6,1,2
1,338,1,41.0,0,0,134.5,0,1
1,339,3,45.0,0,0,8.05,1,2
0,340,1,45.0,0,0,35.5,1,2
1,341,2,2.0,1,1,26.0,1,2
1,342,1,24.0,3,2,263.0,0,2
0,343,2,28.0,0,0,13.0,1,2
0,344,2,25.0,0,0,13.0,1,2
0,345,2,36.0,0,0,13.0,1,2
1,346,2,24.0,0,0,13.0,0,2
1,347,2,40.0,0,0,13.0,0,2
1,348,3,21.5,1,0,16.1,0,2
1,349,3,3.0,1,1,15.9,1,2
0,350,3,42.0,0,0,8.6625,1,2
0,351,3,23.0,0,0,9.225,1,2
0,352,1,40.0,0,0,35.0,1,2
0,353,3,15.0,1,1,7.2292,1,1
0,354,3,25.0,1,0,17.8,1,2
0,355,3,25.0,0,0,7.225,1,1
0,356,3,28.0,0,0,9.5,1,2
1,357,1,22.0,0,1,55.0,0,2
0,358,2,38.0,0,0,13.0,0,2
1,359,3,21.5,0,0,7.8792,0,3
1,360,3,21.5,0,0,7.8792,0,3
0,361,3,40.0,1,4,27.9,1,2
0,362,2,29.0,1,0,27.7208,1,1
0,363,3,45.0,0,1,14.4542,0,1
0,364,3,35.0,0,0,7.05,1,2
0,365,3,25.0,1,0,15.5,1,3
0,366,3,30.0,0,0,7.25,1,2
1,367,1,60.0,1,0,75.25,0,1
1,368,3,21.5,0,0,7.2292,0,1
1,369,3,21.5,0,0,7.75,0,3
1,370,1,24.0,0,0,69.3,0,1
1,371,1,25.0,1,0,55.4417,1,1
0,372,3,18.0,1,0,6.4958,1,2
0,373,3,19.0,0,0,8.05,1,2
0,374,1,22.0,0,0,135.6333,1,1
0,375,3,3.0,3,1,21.075,0,2
1,376,1,35.0,1,0,82.1708,0,1
1,377,3,22.0,0,0,7.25,0,2
0,378,1,27.0,0,2,211.5,1,1
0,379,3,20.0,0,0,4.0125,1,1
0,380,3,19.0,0,0,7.775,1,2
1,381,1,42.0,0,0,227.525,0,1
1,382,3,1.0,0,2,15.7417,0,1
0,383,3,32.0,0,0,7.925,1,2
1,384,1,35.0,1,0,52.0,0,2
0,385,3,25.0,0,0,7.8958,1,2
0,386,2,18.0,0,0,73.5,1,2
0,387,3,1.0,5,2,46.9,1,2
1,388,2,36.0,0,0,13.0,0,2
0,389,3,25.0,0,0,7.7292,1,3
1,390,2,17.0,0,0,12.0,0,1
1,391,1,36.0,1,2,120.0,1,2
1,392,3,21.0,0,0,7.7958,1,2
0,393,3,28.0,2,0,7.925,1,2
1,394,1,23.0,1,0,113.275,0,1
1,395,3,24.0,0,2,16.7,0,2
0,396,3,22.0,0,0,7.7958,1,2
0,397,3,31.0,0,0,7.8542,0,2
0,398,2,46.0,0,0,26.0,1,2
0,399,2,23.0,0,0,10.5,1,2
1,400,2,28.0,0,0,12.65,0,2
1,401,3,39.0,0,0,7.925,1,2
0,402,3,26.0,0,0,8.05,1,2
0,403,3,21.0,1,0,9.825,0,2
0,404,3,28.0,1,0,15.85,1,2
0,405,3,20.0,0,0,8.6625,0,2
0,406,2,34.0,1,0,21.0,1,2
0,407,3,51.0,0,0,7.75,1,2
1,408,2,3.0,1,1,18.75,1,2
0,409,3,21.0,0,0,7.775,1,2
0,410,3,21.5,3,1,25.4667,0,2
0,411,3,25.0,0,0,7.8958,1,2
0,412,3,25.0,0,0,6.8583,1,3
1,413,1,33.0,1,0,90.0,0,3
0,414,2,30.0,0,0,0.0,1,2
1,415,3,44.0,0,0,7.925,1,2
0,416,3,21.5,0,0,8.05,0,2
1,417,2,34.0,1,1,32.5,0,2
1,418,2,18.0,0,2,13.0,0,2
0,419,2,30.0,0,0,13.0,1,2
0,420,3,10.0,0,2,24.15,0,2
0,421,3,25.0,0,0,7.8958,1,1
0,422,3,21.0,0,0,7.7333,1,3
0,423,3,29.0,0,0,7.875,1,2
0,424,3,28.0,1,1,14.4,0,2
0,425,3,18.0,1,1,20.2125,1,2
0,426,3,25.0,0,0,7.25,1,2
1,427,2,28.0,1,0,26.0,0,2
1,428,2,19.0,0,0,26.0,0,2
0,429,3,25.0,0,0,7.75,1,3
1,430,3,32.0,0,0,8.05,1,2
1,431,1,28.0,0,0,26.55,1,2
1,432,3,21.5,1,0,16.1,0,2
1,433,2,42.0,1,0,26.0,0,2
0,434,3,17.0,0,0,7.125,1,2
0,435,1,50.0,1,0,55.9,1,2
1,436,1,14.0,1,2,120.0,0,2
0,437,3,21.0,2,2,34.375,0,2
1,438,2,24.0,2,3,18.75,0,2
0,439,1,64.0,1,4,263.0,1,2
0,440,2,31.0,0,0,10.5,1,2
1,441,2,45.0,1,1,26.25,0,2
0,442,3,20.0,0,0,9.5,1,2
0,443,3,25.0,1,0,7.775,1,2
1,444,2,28.0,0,0,13.0,0,2
1,445,3,25.0,0,0,8.1125,1,2
1,446,1,4.0,0,2,81.8583,1,2
1,447,2,13.0,0,1,19.5,0,2
1,448,1,34.0,0,0,26.55,1,2
1,449,3,5.0,2,1,19.2583,0,1
1,450,1,52.0,0,0,30.5,1,2
0,451,2,36.0,1,2,27.75,1,2
0,452,3,25.0,1,0,19.9667,1,2
0,453,1,30.0,0,0,27.75,1,1
1,454,1,49.0,1,0,89.1042,1,1
0,455,3,25.0,0,0,8.05,1,2
1,456,3,29.0,0,0,7.8958,1,1
0,457,1,65.0,0,0,26.55,1,2
1,458,1,35.0,1,0,51.8625,0,2
1,459,2,50.0,0,0,10.5,0,2
0,460,3,25.0,0,0,7.75,1,3
1,461,1,48.0,0,0,26.55,1,2
0,462,3,34.0,0,0,8.05,1,2
0,463,1,47.0,0,0,38.5,1,2
0,464,2,48.0,0,0,13.0,1,2
0,465,3,25.0,0,0,8.05,1,2
0,466,3,38.0,0,0,7.05,1,2
0,467,2,30.0,0,0,0.0,1,2
0,468,1,56.0,0,0,26.55,1,2
0,469,3,25.0,0,0,7.725,1,3
1,470,3,0.75,2,1,19.2583,0,1
0,471,3,25.0,0,0,7.25,1,2
0,472,3,38.0,0,0,8.6625,1,2
1,473,2,33.0,1,2,27.75,0,2
1,474,2,23.0,0,0,13.7917,0,1
0,475,3,22.0,0,0,9.8375,0,2
0,476,1,40.0,0,0,52.0,1,2
0,477,2,34.0,1,0,21.0,1,2
0,478,3,29.0,1,0,7.0458,1,2
0,479,3,22.0,0,0,7.5208,1,2
1,480,3,2.0,0,1,12.2875,0,2
0,481,3,9.0,5,2,46.9,1,2
0,482,2,30.0,0,0,0.0,1,2
0,483,3,50.0,0,0,8.05,1,2
1,484,3,63.0,0,0,9.5875,0,2
1,485,1,25.0,1,0,91.0792,1,1
0,486,3,21.5,3,1,25.4667,0,2
1,487,1,35.0,1,0,90.0,0,2
0,488,1,58.0,0,0,29.7,1,1
0,489,3,30.0,0,0,8.05,1,2
1,490,3,9.0,1,1,15.9,1,2
0,491,3,25.0,1,0,19.9667,1,2
0,492,3,21.0,0,0,7.25,1,2
0,493,1,55.0,0,0,30.5,1,2
0,494,1,71.0,0,0,49.5042,1,1
0,495,3,21.0,0,0,8.05,1,2
0,496,3,25.0,0,0,14.4583,1,1
1,497,1,54.0,1,0,78.2667,0,1
0,498,3,25.0,0,0,15.1,1,2
0,499,1,25.0,1,2,151.55,0,2
0,500,3,24.0,0,0,7.7958,1,2
0,501,3,17.0,0,0,8.6625,1,2
0,502,3,21.0,0,0,7.75,0,3
0,503,3,21.5,0,0,7.6292,0,3
0,504,3,37.0,0,0,9.5875,0,2
1,505,1,16.0,0,0,86.5,0,2
0,506,1,18.0,1,0,108.9,1,1
1,507,2,33.0,0,2,26.0,0,2
1,508,1,40.0,0,0,26.55,1,2
0,509,3,28.0,0,0,22.525,1,2
1,510,3,26.0,0,0,56.4958,1,2
1,511,3,29.0,0,0,7.75,1,3
0,512,3,25.0,0,0,8.05,1,2
1,513,1,36.0,0,0,26.2875,1,2
1,514,1,54.0,1,0,59.4,0,1
0,515,3,24.0,0,0,7.4958,1,2
0,516,1,47.0,0,0,34.0208,1,2
1,517,2,34.0,0,0,10.5,0,2
0,518,3,25.0,0,0,24.15,1,3
1,519,2,36.0,1,0,26.0,0,2
0,520,3,32.0,0,0,7.8958,1,2
1,521,1,30.0,0,0,93.5,0,2
0,522,3,22.0,0,0,7.8958,1,2
0,523,3,25.0,0,0,7.225,1,1
1,524,1,44.0,0,1,57.9792,0,1
0,525,3,25.0,0,0,7.2292,1,1
0,526,3,40.5,0,0,7.75,1,3
1,527,2,50.0,0,0,10.5,0,2
0,528,1,40.0,0,0,221.7792,1,2
0,529,3,39.0,0,0,7.925,1,2
0,530,2,23.0,2,1,11.5,1,2
1,531,2,2.0,1,1,26.0,0,2
0,532,3,25.0,0,0,7.2292,1,1
0,533,3,17.0,1,1,7.2292,1,1
1,534,3,21.5,0,2,22.3583,0,1
0,535,3,30.0,0,0,8.6625,0,2
1,536,2,7.0,0,2,26.25,0,2
0,537,1,45.0,0,0,26.55,1,2
1,538,1,30.0,0,0,106.425,0,1
0,539,3,25.0,0,0,14.5,1,2
1,540,1,22.0,0,2,49.5,0,1
1,541,1,36.0,0,2,71.0,0,2
0,542,3,9.0,4,2,31.275,0,2
0,543,3,11.0,4,2,31.275,0,2
1,544,2,32.0,1,0,26.0,1,2
0,545,1,50.0,1,0,106.425,1,1
0,546,1,64.0,0,0,26.0,1,2
1,547,2,19.0,1,0,26.0,0,2
1,548,2,30.0,0,0,13.8625,1,1
0,549,3,33.0,1,1,20.525,1,2
1,550,2,8.0,1,1,36.75,1,2
1,551,1,17.0,0,2,110.8833,1,1
0,552,2,27.0,0,0,26.0,1,2
0,553,3,25.0,0,0,7.8292,1,3
1,554,3,22.0,0,0,7.225,1,1
1,555,3,22.0,0,0,7.775,0,2
0,556,1,62.0,0,0,26.55,1,2
1,557,1,48.0,1,0,39.6,0,1
0,558,1,40.0,0,0,227.525,1,1
1,559,1,39.0,1,1,79.65,0,2
1,560,3,36.0,1,0,17.4,0,2
0,561,3,25.0,0,0,7.75,1,3
0,562,3,40.0,0,0,7.8958,1,2
0,563,2,28.0,0,0,13.5,1,2
0,564,3,25.0,0,0,8.05,1,2
0,565,3,21.5,0,0,8.05,0,2
0,566,3,24.0,2,0,24.15,1,2
0,567,3,19.0,0,0,7.8958,1,2
0,568,3,29.0,0,4,21.075,0,2
0,569,3,25.0,0,0,7.2292,1,1
1,570,3,32.0,0,0,7.8542,1,2
1,571,2,62.0,0,0,10.5,1,2
1,572,1,53.0,2,0,51.4792,0,2
1,573,1,36.0,0,0,26.3875,1,2
1,574,3,21.5,0,0,7.75,0,3
0,575,3,16.0,0,0,8.05,1,2
0,576,3,19.0,0,0,14.5,1,2
1,577,2,34.0,0,0,13.0,0,2
1,578,1,39.0,1,0,55.9,0,2
0,579,3,21.5,1,0,14.4583,0,1
1,580,3,32.0,0,0,7.925,1,2
1,581,2,25.0,1,1,30.0,0,2
1,582,1,39.0,1,1,110.8833,0,1
0,583,2,54.0,0,0,26.0,1,2
0,584,1,36.0,0,0,40.125,1,1
0,585,3,25.0,0,0,8.7125,1,1
1,586,1,18.0,0,2,79.65,0,2
0,587,2,47.0,0,0,15.0,1,2
1,588,1,60.0,1,1,79.2,1,1
0,589,3,22.0,0,0,8.05,1,2
0,590,3,25.0,0,0,8.05,1,2
0,591,3,35.0,0,0,7.125,1,2
1,592,1,52.0,1,0,78.2667,0,1
0,593,3,47.0,0,0,7.25,1,2
0,594,3,21.5,0,2,7.75,0,3
0,595,2,37.0,1,0,26.0,1,2
0,596,3,36.0,1,1,24.15,1,2
1,597,2,28.0,0,0,33.0,0,2
0,598,3,49.0,0,0,0.0,1,2
0,599,3,25.0,0,0,7.225,1,1
1,600,1,49.0,1,0,56.9292,1,1
1,601,2,24.0,2,1,27.0,0,2
0,602,3,25.0,0,0,7.8958,1,2
0,603,1,40.0,0,0,42.4,1,2
0,604,3,44.0,0,0,8.05,1,2
1,605,1,35.0,0,0,26.55,1,1
0,606,3,36.0,1,0,15.55,1,2
0,607,3,30.0,0,0,7.8958,1,2
1,608,1,27.0,0,0,30.5,1,2
1,609,2,22.0,1,2,41.5792,0,1
1,610,1,40.0,0,0,153.4625,0,2
0,611,3,39.0,1,5,31.275,0,2
0,612,3,25.0,0,0,7.05,1,2
1,613,3,21.5,1,0,15.5,0,3
0,614,3,25.0,0,0,7.75,1,3
0,615,3,35.0,0,0,8.05,1,2
1,616,2,24.0,1,2,65.0,0,2
0,617,3,34.0,1,1,14.4,1,2
0,618,3,26.0,1,0,16.1,0,2
1,619,2,4.0,2,1,39.0,0,2
0,620,2,26.0,0,0,10.5,1,2
0,621,3,27.0,1,0,14.4542,1,1
1,622,1,42.0,1,0,52.5542,1,2
1,623,3,20.0,1,1,15.7417,1,1
0,624,3,21.0,0,0,7.8542,1,2
